graph_id,num_nodes,num_edges,noise_type,sigma,query_frac,query_pct,delta,attack_auroc,attack_f1,attack_edge_recall
8,19,33,gaussian,0.1,0.1,10,0.003,0.5472910927456381,0.18181818181267223,0.1818181818126722
8,19,33,gaussian,0.1,0.1,10,0.01,0.5197428833792471,0.18181818181267223,0.1818181818126722
8,19,33,gaussian,0.1,0.1,10,0.03,0.45821854912764,0.12121212120844813,0.12121212120844813
8,19,33,gaussian,0.1,0.1,10,0.1,0.5188246097337006,0.15151515151056016,0.15151515151056016
8,19,33,gaussian,0.1,0.25,25,0.001,0.5684113865932048,0.2727272727190083,0.2727272727190083
8,19,33,gaussian,0.1,0.25,25,0.003,0.5133149678604224,0.18181818181267223,0.1818181818126722
8,19,33,gaussian,0.1,0.25,25,0.01,0.6033057851239668,0.24242424241689625,0.24242424241689625
8,19,33,gaussian,0.1,0.25,25,0.03,0.534435261707989,0.30303030302112033,0.30303030302112033
8,19,33,gaussian,0.1,0.25,25,0.1,0.5472910927456383,0.30303030302112033,0.30303030302112033
8,19,33,gaussian,0.1,0.5,50,0.001,0.5725436179981633,0.18181818181267223,0.1818181818126722
8,19,33,gaussian,0.1,0.5,50,0.003,0.5596877869605142,0.15151515151056016,0.15151515151056016
8,19,33,gaussian,0.1,0.5,50,0.01,0.7529843893480256,0.36363636362534446,0.3636363636253444
8,19,33,gaussian,0.1,0.5,50,0.03,0.6877869605142333,0.4242424242295685,0.4242424242295685
8,19,33,gaussian,0.1,0.5,50,0.1,0.6781450872359964,0.5151515151359045,0.5151515151359045
8,19,33,gaussian,0.1,1.0,100,0.001,0.48668503213957764,0.21212121211478424,0.21212121211478424
8,19,33,gaussian,0.1,1.0,100,0.003,0.5895316804407713,0.24242424241689625,0.24242424241689625
8,19,33,gaussian,0.1,1.0,100,0.01,0.6069788797061525,0.33333333332323234,0.33333333332323234
8,19,33,gaussian,0.1,1.0,100,0.03,0.7823691460055096,0.6363636363443527,0.6363636363443527
8,19,33,gaussian,0.1,1.0,100,0.1,0.7465564738292012,0.6969696969485768,0.6969696969485768
9,11,19,gaussian,0.1,0.1,10,0.001,0.5526315789473684,0.3684210526121884,0.3684210526121884
9,11,19,gaussian,0.1,0.1,10,0.003,0.49999999999999994,0.31578947366759,0.31578947366759
9,11,19,gaussian,0.1,0.1,10,0.01,0.48199445983379496,0.26315789472299167,0.26315789472299167
9,11,19,gaussian,0.1,0.1,10,0.03,0.5290858725761772,0.3684210526121884,0.3684210526121884
9,11,19,gaussian,0.1,0.1,10,0.1,0.5124653739612188,0.31578947366759,0.31578947366759
9,11,19,gaussian,0.1,0.25,25,0.001,0.47368421052631576,0.26315789472299167,0.26315789472299167
9,11,19,gaussian,0.1,0.25,25,0.003,0.39889196675900274,0.21052631577839334,0.21052631577839334
9,11,19,gaussian,0.1,0.25,25,0.01,0.4238227146814404,0.31578947366759,0.31578947366759
9,11,19,gaussian,0.1,0.25,25,0.03,0.6232686980609419,0.3684210526121884,0.3684210526121884
9,11,19,gaussian,0.1,0.25,25,0.1,0.6011080332409972,0.47368421050138504,0.47368421050138504
