graph_id,num_nodes,num_edges,delta,attack_auroc,attack_f1,attack_precision,attack_recall,threshold,mode
458,29,50,0.02,0.99,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.005805179476737976,search_grid
458,29,50,0.05,0.9892000000000001,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.014509499073028564,search_grid
458,29,50,0.1,0.9876,0.8631578947186704,0.9111111110908643,0.8199999999836001,0.02899530529975891,search_grid
459,84,177,0.01,0.9834657984614894,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.002183377742767334,baseline_fixed_delta
459,84,177,0.0001,0.9712247438475534,0.6822916666631131,0.6328502415428365,0.7401129943461011,2.187490463256836e-05,adaptive_delta
459,84,177,0.0001,0.9712247438475534,0.6822916666631131,0.6328502415428365,0.7401129943461011,2.187490463256836e-05,search_grid
459,84,177,0.0005,0.9802419483545598,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.00010916590690612793,search_grid
459,84,177,0.001,0.9898177407513805,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.00021833181381225586,search_grid
459,84,177,0.002,0.9805930607424431,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.000436633825302124,search_grid
459,84,177,0.005,0.987870662964027,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.00109177827835083,search_grid
459,84,177,0.01,0.9893070318235502,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.002183377742767334,search_grid
459,84,177,0.02,0.9753263749241916,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.004366666078567505,search_grid
459,84,177,0.05,0.9784225477991637,0.6822916666631131,0.6328502415428365,0.7401129943461011,0.010915517807006836,search_grid
459,84,177,0.1,0.978837498803026,0.6806282722477454,0.6341463414603212,0.7344632768320087,0.02207942306995392,search_grid
460,85,158,0.01,0.9658708540298029,0.6624999999958595,0.654320987650282,0.6708860759451211,0.003188997507095337,baseline_fixed_delta
460,85,158,0.1,0.981533408107675,0.6666666666624738,0.6624999999958594,0.6708860759451211,0.03226324915885925,adaptive_delta
460,85,158,0.0001,0.9809726005447845,0.6604361370675363,0.6503067484622681,0.6708860759451211,3.1560659408569336e-05,search_grid
460,85,158,0.0005,0.9847780804358275,0.6604361370675363,0.6503067484622681,0.6708860759451211,0.0001577138900756836,search_grid
460,85,158,0.001,0.9871815414196442,0.6604361370675363,0.6503067484622681,0.6708860759451211,0.0003154575824737549,search_grid
460,85,158,0.002,0.9742429097900978,0.6604361370675363,0.6503067484622681,0.6708860759451211,0.0006310045719146729,search_grid
460,85,158,0.005,0.9896651177695882,0.6604361370675363,0.6503067484622681,0.6708860759451211,0.0015876591205596924,search_grid
