graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
10,20,32,laplace,0.0,0.9580078125,0.7499999999765627,0.7499999999765626,0.949999988079071
10,20,32,laplace,0.05,0.7763671875,0.3124999999902344,0.3124999999902344,0.949999988079071
10,20,32,laplace,0.1,0.4072265625,0.12499999999609376,0.12499999999609376,0.949999988079071
10,20,32,laplace,0.2,0.3720703125,0.1562499999951172,0.1562499999951172,0.949999988079071
10,20,32,laplace,0.3,0.498046875,0.1874999999941407,0.18749999999414066,0.9000000357627869
11,52,103,gaussian,0.0,0.956546328588934,0.6601941747508718,0.6601941747508718,0.9807692766189575
11,52,103,gaussian,0.05,0.5987369214817608,0.13592233009576773,0.13592233009576773,0.9807692766189575
11,52,103,gaussian,0.1,0.5305872372513903,0.10679611650381751,0.10679611650381751,0.9615384936332703
11,52,103,gaussian,0.2,0.5805448204354792,0.15533980582373455,0.15533980582373455,0.942307710647583
11,52,103,gaussian,0.3,0.45913846733905167,0.14563106795975114,0.14563106795975114,0.942307710647583
11,52,103,laplace,0.0,0.9552266943161467,0.6601941747508718,0.6601941747508718,0.9807692766189575
11,52,103,laplace,0.05,0.5529267602978603,0.14563106795975114,0.14563106795975114,0.9615384936332703
11,52,103,laplace,0.1,0.5370911490244132,0.11650485436780092,0.11650485436780092,0.9807692766189575
11,52,103,laplace,0.2,0.5396361579790745,0.05825242718390046,0.05825242718390046,0.884615421295166
11,52,103,laplace,0.3,0.5331322462060514,0.13592233009576773,0.13592233009576773,0.8653846383094788
12,21,38,gaussian,0.0,0.9709141274238228,0.6578947368247923,0.6578947368247923,0.9047619104385376
12,21,38,gaussian,0.05,0.5650969529085872,0.23684210525692523,0.23684210525692523,0.9047619104385376
12,21,38,gaussian,0.1,0.4563711911357341,0.18421052631094184,0.18421052631094184,0.9047619104385376
12,21,38,gaussian,0.2,0.5159279778393351,0.13157894736495845,0.13157894736495845,0.9523809552192688
12,21,38,gaussian,0.3,0.5166204986149585,0.13157894736495845,0.13157894736495845,0.9523809552192688
12,21,38,laplace,0.0,0.9217451523545707,0.6578947368247923,0.6578947368247923,0.9047619104385376
12,21,38,laplace,0.05,0.6454293628808864,0.18421052631094184,0.18421052631094184,0.9047619104385376
12,21,38,laplace,0.1,0.4736842105263158,0.18421052631094184,0.18421052631094184,0.9523809552192688
12,21,38,laplace,0.2,0.5429362880886426,0.15789473683795016,0.15789473683795016,0.9523809552192688
12,21,38,laplace,0.3,0.4383656509695291,0.13157894736495845,0.13157894736495845,0.9523809552192688
13,44,85,gaussian,0.0,0.7775778546712803,0.5999999999929412,0.5999999999929412,0.8181818723678589
13,44,85,gaussian,0.05,0.5478200692041522,0.16470588235100345,0.16470588235100345,0.8181818723678589
13,44,85,gaussian,0.1,0.5439446366782008,0.11764705882214532,0.11764705882214532,0.8181818723678589
13,44,85,gaussian,0.2,0.5051903114186851,0.1529411764687889,0.1529411764687889,0.8181818723678589
13,44,85,gaussian,0.3,0.6239446366782007,0.21176470587986157,0.21176470587986157,0.8636363744735718
13,44,85,laplace,0.0,0.7658131487889275,0.5999999999929412,0.5999999999929412,0.8181818723678589
13,44,85,laplace,0.05,0.533840830449827,0.1529411764687889,0.1529411764687889,0.8181818723678589
13,44,85,laplace,0.1,0.5494809688581315,0.11764705882214532,0.11764705882214532,0.8181818723678589
13,44,85,laplace,0.2,0.5399307958477509,0.11764705882214532,0.11764705882214532,0.8181818723678589
13,44,85,laplace,0.3,0.5165397923875432,0.1411764705865744,0.1411764705865744,0.8636363744735718
14,20,36,gaussian,0.0,0.9768518518518519,0.8611111110871914,0.8611111110871914,0.8500000238418579
14,20,36,gaussian,0.05,0.5841049382716048,0.24999999999305558,0.24999999999305558,0.8500000238418579
14,20,36,gaussian,0.1,0.587962962962963,0.16666666666203706,0.16666666666203706,0.9000000357627869
14,20,36,gaussian,0.2,0.6342592592592593,0.27777777777006174,0.27777777777006174,0.8500000238418579
14,20,36,gaussian,0.3,0.5578703703703705,0.16666666666203706,0.16666666666203706,0.8500000238418579
14,20,36,laplace,0.0,0.9799382716049383,0.8611111110871914,0.8611111110871914,0.8500000238418579
14,20,36,laplace,0.05,0.42592592592592593,0.2222222222160494,0.2222222222160494,0.8500000238418579
14,20,36,laplace,0.1,0.4799382716049383,0.16666666666203706,0.16666666666203706,0.8500000238418579
14,20,36,laplace,0.2,0.4429012345679012,0.2222222222160494,0.2222222222160494,0.8500000238418579
14,20,36,laplace,0.3,0.5347222222222222,0.13888888888503087,0.13888888888503087,0.75
15,40,67,gaussian,0.0,0.9783916239697037,0.7611940298393851,0.7611940298393851,0.875
15,40,67,gaussian,0.05,0.6669636890175986,0.22388059701158386,0.22388059701158386,0.875
15,40,67,gaussian,0.1,0.6569391846736466,0.1492537313410559,0.1492537313410559,0.9000000357627869
15,40,67,gaussian,0.2,0.5312987302294498,0.16417910447516149,0.16417910447516149,0.9000000357627869
15,40,67,gaussian,0.3,0.5932278903987526,0.16417910447516149,0.16417910447516149,0.925000011920929
15,40,67,laplace,0.0,0.9917576297616396,0.7611940298393851,0.7611940298393851,0.875
15,40,67,laplace,0.05,0.5555803074181332,0.1492537313410559,0.1492537313410559,0.875
15,40,67,laplace,0.1,0.5996881265315215,0.13432835820695033,0.13432835820695033,0.875
15,40,67,laplace,0.2,0.5872131877923814,0.16417910447516149,0.16417910447516149,0.8500000238418579
15,40,67,laplace,0.3,0.5709512140788594,0.08955223880463355,0.08955223880463355,0.875
16,23,41,gaussian,0.0,0.7061273051754908,0.5853658536442594,0.5853658536442594,0.95652174949646
16,23,41,gaussian,0.05,0.5568114217727543,0.2439024390184414,0.2439024390184414,0.95652174949646
16,23,41,gaussian,0.1,0.46103509815585964,0.14634146341106485,0.14634146341106485,0.95652174949646
16,23,41,gaussian,0.2,0.4824509220701963,0.14634146341106485,0.14634146341106485,0.95652174949646
